text	emotion
우리는 마을 밖으로 나갈 수 있습니다.	중립
아프고 늙었다고 자식들이 무시해서 화가 나.	분노
일부 컨텐츠 및 서비스에는 특정 하드웨어 또는 소프트웨어 요구 사항이 있습니다.구매하기 전에 제품 정보를 검토하십시오.	중립
치매 걸린 아내를 돌보다가 살해한 남편의 뉴스를 보았어. 어쩌면 좋아 마음이 아프네.	상처
마지막으로, 나는 이것이 단지 행정적인 것일 뿐이라고 Kristi의 Roth IRA는 웹이나 우편으로받는 진술에 나타나지 않습니다.	중립
좋아하는 일을 잘할 때까지 하고 싶어. 근데 실력이 늘지 않아서 어떻게 해야 할지 혼란스러워.	불안
세상에 나 홀로 서 있는 듯한 느낌이 들어.	상처
부모님은 어딜 가든 나를 자랑스럽게 여기셔. 기분이 좋아.	기쁨
의사가 나의 검사 결과를 앞에 놓고 뜸을 들여서 초조해.	불안
그의 생각을 위해 Dave에게 전달하는 것.	중립
여기로 이동하여 이메일 주소를 확인하십시오.	중립
처음 이틀 동안 Todo Pro 로의 트래픽이 많이 유입되었으며 불행히도 서비스는 한 번에 모든 것을 모두 처리 할 수 없었습니다.	중립
나는 그녀가 나에 대해 당신과 이야기했다는 것을 알고 있으며, 언젠가 함께하는 데 관심이 있는지보고 싶었습니다.	중립
허리가 안 좋아서 힘들어.	슬픔
공장에서 일하고 있는데 곧 있으면 나이가 오십 대 후반이여. 너무 힘들고 세상이 다 싫다.	상처
나는 Waco에서 돌아와서 긴급 상황을 금지 할 것입니다.	중립
지인이 약초가 요실금에 좋다고 해서 구입해봤는데 효과가 있을지 모르겠어.	불안
2 주 후에 게임에 가고 싶습니까?	중립
안녕하세요 David : 1 분이되면 프로젝트를 논의하기 위해 전화를 주시겠습니까?	중립
남편이 갑자기 명예퇴직을 당해서 매우 당황스러워.	당황
이것이 당신을 설명한다면, 11 월 29 일 목요일에 우리와 함께하십시오.	중립
담임선생님께 친구를 괴롭혀 곤란하게 했던 것이 너무 죄송해.	당황
내가 올린 보고서를 상사가 집어 던져 눈물이 나는 걸 참았어.	슬픔
내가 죽고 나면 남편이 딸 집에서 같이 살기로 했다지 뭐야.	상처
Jeff Shankman과 만나 의제에 대해 논의합시다.	중립
나는 아무 잘못도 없었는데 누나가 갑자기 내 뺨을 때려서 너무 화가 나고 억울해.	상처
요즘 아빠한테 왜 이렇게 내가 막 대하는지 모르겠어. 나 왜 그럴까?	분노
나이가 더 들기 전에 시집을 가야 하는데 걱정이야.	분노
나는 여전히 내일 아침에 정말로 크 런치되었습니다.	중립
다음 제목은 8 월 28 일 수요일에 제거 될 예정입니다.	중립
부모님의 주소는 무엇입니까?	중립
2012 년 7 월 3 일, PICPLZ는 영구적으로 종료되며 모든 사진과 데이터가 삭제됩니다.	중립
Karen은 내 메일을 모두 읽으므로 너무 개인적인 것을 보내지 마십시오.	중립
오늘 아침 토론을 바탕으로 :	중립
이것을 빨리 요약하겠습니다…	중립
지구의 날에 만들었나요?	중립
부모님이 차라리 절혼 하셨으면 좋겠어. 이제 더이상 아버지의 폭력은 못 견뎌.	슬픔
부모님에게서 독립하고 싶은데 불편한 몸 때문에 혼자 생활하는 게 어려워.	슬픔
회사를 그만두고 나면 생활비를 벌긴 해야하는데 내가 과연 장사를 할 수 있을지 모르겠어.	불안
나 평소에 등하교 다 걸어 다녀서 체력만큼은 내가 우리 반에서 최고일 거야.	기쁨
오늘, 우리는 SDK의 새로운 개정을 발표하게되어 기쁘게 생각합니다. 이는이와 같은 사용 사례를 크게 개선 할 수 있습니다.	중립
이 전자 메일을 인쇄하기 전에 환경을 생각하십시오.	중립
건강이 더 악화가 되는 꿈을 꿔서 괴로워.	상처
집 번호가 없기 때문에 E : Mail과 대화했습니다.	중립
이번에 들어온 신입 중에 나를 무시하는 애가 있거든? 걔한테 일을 일부러 틀리게 알려줬어.	분노
몰래 소개팅에 나갔는데 남자친구한테 너무 미안해.	당황
이 앱을 여러분과 공유하고 싶습니다.	중립
친구가 내 집안 재정 상황을 알게 될까 봐 불안해.	당황
야호! 내가 그토록 바라던 회사에 합격했어.	기쁨
용서해주십시오. 그러나 오늘 우리는 몇시에 얘기 했습니까?	중립
나의 인생에서 육십 조금 넘어 이렇게 자존감을 다 잃을 줄이야. 생각도 못 했는데 비참하게 되었어.	상처
"Reddot은 비즈니스 사용자가 ""빨간색 점을 클릭하여""단순히 웹 사이트를 유지할 수있는 소프트웨어를 제공합니다."	중립
건강검진 결과가 좋게 나와서 기분이 좋아.	기쁨
서비스를 개선하는 방법에 대한 생각이 있으시면 support@proven.com으로 이메일을 보내주십시오.	중립
우리의 하위 커미트는 내일 회의를 위해 제안 된 솔루션에 대한 거래를 마무리하려고합니다.	중립
Re : TX 매입은 금요일에 발표되었습니다.	중립
당신은 당신이 상사가 선택의 중요성에 대해 주지사에게 전화를 걸려고한다고 생각하십니까?	중립
나 요즘 외톨이가 된 것 같아.	상처
몇 주 전에 나는 당신이 휴스턴에 올 때 당신이 만날 주요 개인 목록을 만들었습니다.	중립
보상 계획 및 혜택 계획에 대한 친숙 함을 고려할 때 특히 4.14 절에 대한 귀하의 검토에 감사드립니다.	중립
좋은 소식을 여러분과 공유하고 싶습니다. 우리는 매일 App Store에 새로운 잡지 응용 프로그램을 추가하는 이정표에 도달했습니다!	중립
Bidweek에서 데이터를 보내기 전에 운영되는지 알 수 있도록 답장을 보내주십시오.	중립
진로가 뚜렷하게 정해진 친구를 보면 질투가 나요. 이런 마음을 어떻게 고칠 수 있을까요.	상처
자녀에게 결혼자금을 하나도 지원해 주지 못해서 너무 미안해.	상처
딸이 며칠 전에 운전면허를 땄는데 아직 익숙하지 않아서 오늘 같은 비 오는 날이면 걱정돼.	불안
집에 갔는데 또 결혼은 언제 할 거냐고 묻더라. 난 아직인데 남들 시선이 신경 쓰여.	당황
어제 새벽에 부모님이 다투는 소리를 들었어.	불안
갑자기 불어난 병원비에 너무 걱정돼.	불안
저를 읽으십시오 : 책벌레를위한 4 개의 소셜 미디어 사이트	중립
이번 건강검진에서 고지혈증이 있다 해서 걱정이야.	불안
진, 6 백만 달러는 저와 마티 로젠버그 (Marty Rosenberg) 사이의 협상 된 합의로, 우리가 올해 초 독립 공장의 구조 조정으로 나아가면서 몇 가지 오래된 분쟁으로 협상 한 것입니다. 루스는 행정 지원 이외의 다른 것을 추가했습니다.	중립
의사가 건강 관리를 해야 한다는데 지금 건강만 생각하면 좌절하게 돼.	분노
돌아와서 당신이 괜찮은 것을 알려주십시오!	중립
구독을 취소하고 싶다면 여기 $ 링크로 이동하십시오.	중립
직장에서 성추행하려는 남자 직원이 있어. 너무 혐오스러워.	당황
우리 부모님이 나를 사랑하는지 모르겠어.	상처
평생을 모아둔 노후자금을 사기 당해서 눈앞이 캄캄해.	당황
그러나 어제 휴스턴으로 돌아가는 것이 좋았습니다.	중립
각 이벤트와 관련하여보다 자세한 의제 및 정보를 보려면 계속 읽으십시오.	중립
요새 투자한게 잘못되서 재정상태가 엉망이라 좌절했어.	분노
생성 한 로그인과 비밀번호를 유지하십시오.	중립
바로 사이트를 확인하십시오.	중립
나는 우리의 일정에 대해 잘 모르겠지만, 당신과 일치하는 자유 시간이 있다면 문제를 논의하는 데 시간을 보내고 싶습니다.	중립
이것이 당신에게 w/b에 도달하면.	중립
당연히 날 위로해 줄 거라고 믿었던 친구가 다른 애들과 함께 나를 손가락질 하고 있었어.	상처
"우리는 ""벤치 마크""를 사용하여 유틸리티 구매를 판단한다는 아이디어로 상당한 견인력을 얻고 있습니다."	중립
이번에 건강검진 결과에서 우리 부서 사람들 중 내 건강상태가 가장 양호하다고 나왔어!	기쁨
친구가 나를 많이 도와줘서 좋아	기쁨
월요일에 봐.	중립
내가 학교에서 따돌림 받는데 오늘은 맞기까지 했어.	상처
배우자에게 너무 불만족스러워.	분노
내 아내가 암에 걸렸어. 나 때문인 것 같아서 죄책감을 느껴.	당황
이메일 환경 설정을 업데이트하려면 다음을 방문하십시오.	중립
이용 약관 및 개인 정보 보호 정책 및 안전 정보는이 사이트에 적용됩니다.	중립
평소 수행하는 업무도 충분히 부담이지만 새로운 개발 건으로 추가적인 근무 희생을 강요당하는 것 같아서 몹시 스트레스를 받고 부담스러워.	분노
내일 우리와 함께 토론 해 주시겠습니까?	중립
어제 친구가 브랜드 가방을 메고 다니는 게 부러워서 그 가방을 뺏었어.	당황
안녕하세요 : 이번 주에 SAC에 갔던 매일 4 달러의 통행료를 추가하십시오.	중립
Pat/Christian : 나는 ious가 DWR의 신용에 부정적인 영향을 미칠 무언가를 추천 할만 큼 멍청하지 않을 것이라고 가정하고 있지만, 검토 할 기회가 있는지 확인하고 싶었습니다.내가 가정 한 것만 큼 똑똑합니다.	중립
다른 스피커를 아직 얻었습니까?	중립
통풍 때문에 꾸준히 관리하고 있는데 병원에 갔더니 큰 문제가 없어서 기분이 좋아.	기쁨
이번 주 금요일과 토요일은 50% 할인 된 여성과 소녀 플러리 Mocs* + 쿠폰 코드 251415618을 사용한 모든 정규 가격 상품을 30% 추가로 30% 할인합니다. ** **	중립
친구가 행복해하는 것을 보면 배가 아파 자꾸 질투가 나.	상처
의사가 나한테 술을 끊으래. 난 술 너무 좋아하는데.	슬픔
